FP ID,Firm Name,Job Location,Job Title,Job Description,Practice Areas,Specialty,MinYrs,MaxYrs,Status,Closed Date
1000145796,Arnall Golden Gregory LLP,"Atlanta, Georgia; District of Columbia",Experienced Real Estate Attorney,"AGG, an Am Law 200 firm with more than 200 attorneys with offices in Atlanta and Washington, D.C., is seeking an attorney with 7+ years of experience in commercial real estate, particularly with representing developers, owners, and investors in structuring, documenting, and closing a variety of complex real estate transactions. Candidates must have significant experience working in a law firm on commercial real estate financing, acquisition, disposition, and development transactions. This position will be located in our Atlanta office. AGG offers competitive compensation arrangements. Actual compensation offers may vary based on a number of factors, including but not limited to experience, training, and skill sets. To apply, please click here.",Real Estate,"P&S, Finance, Leasing, Development",7,,Open,
1000145795,Arnall Golden Gregory LLP,"District of Columbia; Atlanta, Georgia",Experienced Affordable Housing Attorney,"AGG, an Am Law 200 firm with more than 200 attorneys with offices in Atlanta and Washington, D.C., is seeking a commercial real estate attorney with 7+ years of experience to join our growing Affordable Housing team. Expertise in multifamily real estate acquisition, development, and finance is required, and experience in joint venture equity and LIHTC transactions is highly valued. Law firm experience is preferred. The ideal candidate is a transactional expert who enjoys interesting deals and working in a collaborative environment, with an opportunity for future client transitions from senior partners. This position can be located in our Atlanta or Washington, D.C. offices. AGG offers competitive compensation arrangements. Actual compensation offers may vary based on a number of factors, including but not limited to experience, training, and skill sets. To apply, please click here.",Real Estate,"Affordable Housing, P&S, Finance, Development",7,,Open,
1000145792,Holland & Knight LLP,District of Columbia,Government Contracts Associate," Job Description: 

The Washington, D.C. office of Holland & Knight seeks a junior associate to join our Government Contracts team. The ideal candidate will have 2-4 years of substantial legal experience with government contracts. Working knowledge of the Federal Acquisition Regulation and other federal procurement laws along with experience in protests, investigations, and claims is required. Admission to practice in Washington, D.C., immediate transferable skills, and a strong academic background with excellent writing skills are also essential.

For consideration, please submit cover letter, resume, transcript and writing sample through our application portal.

 Job Requirements: 

 	* At least 2-4 years substantial government contracts experience.
 	* Admitted to the D.C. Bar.
 	* Strong academic background.

_*This position may be filled in Washington, D.C. In accordance with applicable Pay Transparency Laws, the pay range for this position in this location is $235,000 – $310,000/yr. An individual’s actual compensation will depend on the individual’s qualifications and experience._
 ",Government,Contracts,2,4,Open,
1000145789,Herbert Smith Freehills Kramer LLP,"New York City, New York",Junior Real Estate Associate,"Our New York office is looking for a second - third year transactional Real Estate associate with big law experience. The ideal candidate will have played key roles on acquisitions/dispositions, joint ventures, development deals and financings. The position will involve both drafting and negotiating. Prior experience performing these duties is helpful. Applicants must be admitted to the New York Bar. We are committed to attracting the most talented people and creating a respectful and inclusive culture where everyone thrives. We see this as essential to our success, including our ability to innovate and achieve sustained high performance. This is a key part of our Values – Human, Bold, and Outstanding. Exact compensation may vary based on skills and experience and salary range is $235,000 – $260,000.",Real Estate,"P&S, Finance, Development",2,3,Open,
1000145790,Herbert Smith Freehills Kramer LLP,"New York City, New York",Business Immigration Associate,"Our New York office is looking for a Business Immigration off-track associate with five to ten years of experience. Must have prior experience with H-1Bs, L-1s, O-1s, TNs, E-3s, I-140s (EB-1 and EB-2/3) and adjustment of status. Experience in drafting PERMs is a plus. The associate will have extensive client contact with a bluechip list of companies. Interested candidates would have the opportunity to broaden their practice with a premier immigration team. Exact compensation may vary based on skills and experience and salary range is $215,000 – $275,000.",Labor & Employment,Immigration,5,,Open,
1000145778,Holland & Knight LLP,District of Columbia,Environmental Associate,"Job Description: Holland & Knight is seeking an associate with 2-4 years of experience to cover a broad range of environmental issues in its Washington, DC office. The associate’s primary responsibilities will include environmental litigation with respect to agency challenges under the Administrative Procedure Act and core environmental statutes, particularly the CWA, NEPA, ESA, CERCLA and analogous state statutes. Associate will be expected to support due diligence and evaluation of risk mitigation measures in corporate and real estate transactions, RCRA, CERCLA, CAA, CWA, TSCA, FIFRA, and state law compliance issues, climate disclosure and ESG issues, and support partners in environmental enforcement matters. Private practice or in-house experience advising energy (oil and gas, renewable, transitional), chemical, or transportation companies preferred. Strong academic credentials, excellent research and writing skills, and ability to work on widely varying matters as part of a dynamic team are a must. For consideration, please submit a cover letter, resume, law school transcript and writing sample through our application portal. Job Requirements: Admitted to the D.C. Bar or eligible to waive into the same. 2-4 years’ experience in environmental law. *This position may be filled in Washington, D.C. In accordance with applicable Pay Transparency Laws, the pay range for this position in this location is $235,000 – $310,000/yr. An individual’s actual compensation will depend on the individual’s qualifications and experience.",Environmental,"Litigation, CERCLA, Air/CAA, Water/CWA",2,4,Open,
1000145776,Day Pitney LLP,"North, New Jersey; Hartford, Connecticut; Stamford, Connecticut; New Haven, Connecticut; Boston, Massachusetts; New York City, New York; District of Columbia; Miami, Florida; West Palm Beach, Florida; Rhode Island",Corporate Associate – Private Equity (Investment Management/ Funds),"Day Pitney’s Private Equity & Finance team is seeking an associate with 3-6 years of demonstrated investment management / corporate transactional experience to join our growing team. This position can reside in any of Day Pitney’s offices, including Connecticut, Florida, Massachusetts, New Jersey, New York, Rhode Island, or Washington, D.C. We are seeking candidates with strong experience in the areas of investment management and private funds, including investment adviser regulatory matters and formation of open and closed-end private funds. Experience representing family offices and institutional investors is a plus, as is experience with negotiating and documenting strategic joint ventures, private equity, and venture capital financings. mergers and acquisitions and general corporate matters. Candidates should have substantial experience drafting sophisticated investment management and fund-related documents as well as experience advising investment managers as to their regulatory compliance obligations. Strong preference will be given to those with experience preparing and reviewing investment management and sub-advisory agreements, private placement memoranda (PPMs), investment manager marketing materials, limited liability company operating agreements, limited partnership agreements, subscription agreements, and side letters. Hybrid Work Environment Day Pitney recognizes the value of flexible working arrangements alongside the benefits of in-office collaboration. To support both, the firm offers a hybrid work environment that provides attorneys the ability to work remotely two days per week. Requirements 3-6 years of demonstrated investment management and private fund formation experience Excellent technical, professional and client service skills Strong written and verbal communication skills Team-oriented with an emphasis on collaboration Effective and efficient problem-solving capabilities with the ability to work independently and proactively, and to develop creative solutions to meet client and team needs Bar admission in good standing in the jurisdiction you plan to practice About Day Pitney Day Pitney, an East Coast-based law firm with national and international reach, has approximately 330 attorneys in 13 offices in Connecticut, Florida, Massachusetts, New Jersey, New York, Rhode Island and Washington, DC. Day Pitney’s Corporate, Litigation, and Trusts and Estates attorneys represent a variety of clients from individuals to Fortune 500companies. Since 1902, Day Pitney has been working collaboratively and effectively with clients in a wide range of industries, including Energy and Utilities; Financial Services; Healthcare and Life Sciences; Insurance and Reinsurance; Intellectual Property and Technology; Family Office Practice; Real Estate and Environmental; and Tax Exempt Organizations and Charitable Giving. Day Pitney’s lawyers provide deep bench knowledge and experience and work seamlessly across disciplines to guide our clients through the evolving legal landscape. For more information on Day Pitney, visit www.daypitney.com. Join Us If you want to join a collaborative, energetic, and nurturing environment where you will take on complex challenges and have a direct impact on the successes of businesses and the lives of people. Day Pitney is the place for you. You will be a key contributor working on sophisticated legal matters alongside recognized leaders in their fields, with mentoring and support along the way to hone your skills and help you reach your career goals. Required application materials include a cover letter, resume, transcript, and writing sample (two to three pages from your academic or work experience of which you are the sole author). Day Pitney does not accept blind submissions or unsolicited resumes from search firms. All candidate and search firm submissions must be submitted through our online portal. Day Pitney is an Equal Opportunity Employer.",Corporate,"Investment Management, Investment Funds, Fund Formation, Private Equity",3,6,Open,
1000145772,Norton Rose Fulbright,"Austin, Texas; Chicago, Illinois; Dallas, Texas; Houston, Texas; New York City, New York; District of Columbia",Patents | Patent Agent (Electrical Engineering),"Job Description We are a global law firm with a powerful strategic focus and real momentum. Our industry-focused strategy is seeing us take on pioneering work in places that others have yet to reach. Our shared values define our culture and our workplace. You will find us to be unusually collegial, team-oriented, and ready to innovate. We work seamlessly across practices, offices and around the world. This elimination of boundaries has allowed us to evolve into a law firm that works as hard for its culture as it does for its clients. Norton Rose Fulbright is seeking a patent agent with at least two years of patent prosecution experience. The candidate will have patent prosecution experience in 5G, Wi-Fi and other wireless technologies, artificial intelligence (AI), processor and memory systems, image processing and RF front-end. This position offers a dynamic career within a prestigious global law firm, ideal for those eager to make significant contributions in their field. Patent Agents collaborate with inventors, researchers, and attorneys to evaluate invention technology, assess patentability, draft patent applications, and respond to USPTO actions. Perfect for dedicated professionals focused on long-term success, this role provides a unique opportunity to be at the forefront of technological innovation and intellectual property law. Key Requirements: Electrical Engineering degree (or equivalent) At least two years of patent prosecution experience Registered with the United States Patent Trademark Office (USPTO) or qualified to register for the USPTO Strong background in 5G, Wi-Fi and other wireless technologies, artificial intelligence (AI), processor and memory systems, image processing and RF front-end Excellent academic credentials with strong analytical, verbal, and written communication skills Additional Skills: Experience liaising with clients to develop and manage portfolios. Preferred domain experience in autonomous vehicles, robotics, natural language processing, wireless communications, computer vision, or related AI fields. Location: This position may be based in any of our US offices (Austin, Chicago, Dallas, Denver, Houston, Los Angeles, Minneapolis, New York, San Antonio, San Francisco, St. Louis, or Washington, DC). Applicants should indicate their office(s) of interest in their application. The full time base annual salary for this position in the New York City, Denver, Los Angeles, and San Francisco market is expected to range between $140,000- $225,000. This range represents the firm’s good faith and reasonable estimate of the range of possible compensation at the time of posting for a position in New York City, Denver, Los Angeles, and San Francisco. Salaries in other markets will vary depending on market data. Bonus opportunities are non-guaranteed and are dependent upon individual and firm performance. Top 5 Reasons to Join Norton Rose Fulbright We’re committed to your professional and personal growth. Here’s what sets us apart: 1. Well-Being & Inclusion Thrive in a workplace that values a people-first culture, work-life balance, and overall well-being. Enjoy: Carrot Fertility: Inclusive family-forming benefits for all full-time employees. Vacation Award: Earn a $2,500 vacation stipend after meeting billable thresholds. Wellness Perks: Free Peloton app membership, Lyra mental health support (8 free therapy or coaching sessions), and Spot Pet Insurance for your furry companions. 2. Growth & Career Development Advance your career with hands-on experience, sector-specific expertise, and leadership opportunities. Business Development Support: Reimbursement for relationship-building activities. Executive Coaching: Eligible lawyers with 250+ BD hours receive firm-sponsored coaching. 3. Global Reach, Local Impact Work on cross-border deals, international clients, and high-profile projects while making a difference in your local community. Pro Bono & Volunteer Time: All non-partner lawyers receive 8 hours of firm time per year for community service. 4. Collaborative Culture, World-Class Talent Join a team that fosters mentorship, innovation, and professional excellence. Referral Bonus: Earn $50,000 for referring top-tier legal talent who join the firm. 5. Commitment to Innovation Stay at the forefront of the legal industry with cutting-edge technology and innovative solutions that enhance your practice and drive success. Norton Rose Fulbright US LLP is committed to providing employees with a comprehensive and competitive benefits package that supports you, your health, and your family. Benefit packages include access to three medical plans, dental, vision, life, and disability insurance. Employees can also access pre-tax benefits such as health savings and flexible spending accounts. Norton Rose Fulbright helps provide financial security by allowing employees to participate in a 401(k) savings plan and profit-sharing plans if eligible. Full- time employees are eligible to access fertility benefits designed to support fertility and family-forming journeys. In addition to the Firm’s health and welfare benefits above, we offer a competitive paid time off plan, which provides a minimum of 20 days off based on your role and tenure with the firm. The firm offers a generous paid parental leave benefit allowing parents to take a minimum of 14 weeks of paid leave to bond with your newborn, or adopted child(ren). Employees are also entitled to 11 Firm holidays. Norton Rose Fulbright US LLP is an Equal Opportunity Employer and complies with all applicable federal laws and their implementing regulations that require the collection and recording of certain data and information. The information we receive will not be used to make any decision regarding employment and will be kept separate from your application. Similarly, self-identification information is kept confidential and used only in accordance with applicable federal laws and regulations. Qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, sexual orientation, gender identity, disability or protected veteran status. Norton Rose Fulbright is committed to providing reasonable accommodation as an Equal Opportunity Employer to applicants with disabilities. If you require assistance or accommodation to complete your application, please contact us.hr@nortonrosefulbright.com. Please provide your contact information and a description of your accessibility issue. We will make a determination on your request for reasonable accommodation on a case-by-case basis. E-Verify is a registered trademark of the U.S. Department of Homeland Security. This business uses E-Verify in its hiring practices to achieve a lawful workforce. Equal Employment Opportunity",Intellectual Property,Patent Prosecution,2,,Open,
1000145766,Cooley LLP,"New York City, New York",Real Estate Attorney: 2nd - 3rd year,"Job Description: The Real Estate practice group is seeking an associate to join the team in our New York office. Associates with 2-3 years of experience at a comparable law firm who have worked on a broad range of real estate transactions for sophisticated clients are especially encouraged to apply. Ideal candidates will have experience reviewing title, documenting, negotiating and closing real estate secured loans, leases, acquisitions and dispositions. All candidates must have a JD or the equivalent and have demonstrated high academic achievement from a nationally recognized law school, have the ability to work on multiple projects simultaneously, have superior writing skills and have a high level of attention to detail. EOE. The expected annual pay range for this position is $235,000-$260,000. Please note that final offer amount will be dependent on geographic location, applicable experience and skillset of the candidate. We offer a full range of elective benefits including medical, health savings account (with applicable medical plan), dental, vision, health and/or dependent care flexible spending accounts, pre-tax commuter benefits, life insurance, AD&D, long-term care coverage, backup care for children and/or adults and other parental support benefits. In addition to elective benefit options, benefited employees receive firm-paid life insurance, AD&D, LTD, short term medical benefits as well as accruing vacation time at the rate of four weeks per year and sick time at the rate of two weeks per year and 10 paid holidays each year. We provide generous parental leave and fertility benefits. New employees will attend a detailed benefit orientation to learn more about our many benefits and resources. Job Requirements:",Real Estate,"P&S, Finance",2,3,Open,
1000145759,Latham & Watkins LLP,"Chicago, Illinois; New York City, New York",Senior Paralegal – Structured Finance,"About Latham & Watkins Latham & Watkins is a global law firm consistently ranked among the top firms in the world. The success of our firm is largely determined by our commitment to hire and develop the very best and brightest, creating a team that provides our clients with the highest quality of work and service. We are driven by our core values: respect, innovation, and collaboration. About the Role The Senior Paralegal is an integral part of Latham’s Legal Professional and Paralegal team. This role will be responsible for managing and leading all supportive aspects for structured finance and securitization transactions across various stages, including, new issuances (both revolving and static), refinancings, reissuances, and resets, as well as other complex business securitizations, while executing a range of legal tasks, including but not limited to, organizing, analyzing, drafting, reviewing, and summarizing documents related to structured finance transactions. This role will be located in either our Chicago or New York office. Please note that this role may be eligible for a flexible working schedule that allows for a hybrid and in-office presence. Responsibilities & Qualifications Other key responsibilities include: Overseeing the closing process, which includes the creation of execution version documents, coordination of signature page compilation, analysis, and collection of documents that are conditions precedent to closing, and assembling legal opinions and closing documents Preparing and assisting with the assembly and review of transaction-related documents Preparing and distributing post-closing documentation Preparing and assisting with filings to the Securities and Exchange Commission (SEC) and other government bodies, and ensuring compliance with all regulatory requirements Facilitating the formation of various business entities, including the preparation and filing of organizational documents (certificates of organization or formation, bylaws, Limited Liability Company (LLC) agreements, and Limited Partnership (LP) agreements) Protecting and maintaining any highly sensitive, confidential, privileged, financial, and/or proprietary information that Latham & Watkins retains We’d love to hear from you if you: Possess strong organizational and project management skills Exhibit excellent attention to detail Demonstrate the ability to work independently and efficiently in a fast-paced environment And have: A bachelor’s degree or equivalent A signed declaration if located in the California office, or a paralegal certificate from an American Bar Association (ABA) approved program, preferably A minimum of six (6) years of related law firm experience as a paralegal Structured finance experience Benefits & Additional Information Successful candidates will not only be provided with an outstanding career opportunity and welcoming environment, but will also be provided with a generous total compensation package with bonuses awarded in recognition of both individual and firm performance. Eligible employees can participate in Latham’s comprehensive benefit program which includes: Healthcare, life and disability insurance A generous 401k plan At least 11 paid holidays per year, and a PTO program that accrues 23 days during the first year of employment and grows with tenure Well-being programs (e.g. mental health services, mindfulness and resiliency, medical resources, well-being events, and more) Professional development programs Employee discounts Affinity groups, networks, and coalitions for lawyers and staff Latham & Watkins is an equal opportunity employer. The Firm prohibits discrimination against any employee or applicant for employment on the basis of race (including, but not limited to, hair texture and protective hairstyles), color, religion, sex, age, national origin, sexual orientation, gender identity, veteran status (including veterans of the Vietnam era), gender expression, marital status, or any other characteristic or condition protected by applicable statute. Please click here to review your rights under U.S. employment laws. #MidSenior #LI-BW1 Pay Range USD $130,000.00 - USD $175,000.00 /Yr.",Banking,Structured Finance,6,,Open,
1000145758,Latham & Watkins LLP,"District of Columbia; Chicago, Illinois; New York City, New York; Houston, Texas",OGC Supervisor - Conflicts (Laterals),"About Latham & Watkins Latham & Watkins is a global law firm consistently ranked among the top firms in the world. The success of our firm is largely determined by our commitment to hire and develop the very best and brightest, creating a team that provides our clients with the highest quality of work and service. We are driven by our core values: respect, innovation, and collaboration. About the Role The OGC Supervisor - Conflicts is an integral part of Latham’s Office of the General Counsel (OGC) team. This role will be responsible for supervising the daily operations of the relevant Conflicts team, while monitoring team capacity, providing regular performance feedback, acting as a key point of escalation, guiding the team on complex conflicts checks, and supporting the team’s professional development. This role will be located in our Washington, D.C., Chicago, New York or Houston office. Please note that this role may be eligible for a flexible working schedule that allows for a hybrid and in-office presence. Responsibilities & Qualifications Other key responsibilities include: Generating performance evaluations and recommending salary increases, while working with Human Capital & Talent to recruit, hire, train, coach, and manage the performance of employees Supervising the orientation and training programs for new staff members Assuming a lead role in completing complex new business and lateral attorney conflicts checks, while assembling a team to work cooperatively on major projects Supervising workflow and ensuring that all tasks and duties are completed within the requested period while adhering to the firm’s set guidelines and policies Working collaboratively with other supervisors and managers in the department to ensure proper follow-up and handoff of urgent matters and issues Protecting and maintaining any highly sensitive, confidential, privileged, financial, and/or proprietary information that Latham & Watkins retains We’d love to hear from you if you: Possess the ability to use independent judgment and discretion when making the majority of decisions Demonstrate the ability to proofread the work of others to ensure compliance and accuracy Exhibit excellent leadership skills (i.e., organizing, planning, problem-solving, and decision-making) And have: A bachelor’s degree or equivalent A paralegal certificate or its equivalent, completion of another legal educational or certification program, or Juris Doctor (J.D.) degree, preferably A minimum of three (3) years of experience in a legal or professional services environment, preferably A minimum of five (5) years of cumulative experience Benefits & Additional Information Successful candidates will not only be provided with an outstanding career opportunity and welcoming environment, but will also be provided with a generous total compensation package with bonuses awarded in recognition of both individual and firm performance. Eligible employees can participate in Latham’s comprehensive benefit program which includes: Healthcare, life and disability insurance A generous 401k plan At least 11 paid holidays per year, and a PTO program that accrues 23 days during the first year of employment and grows with tenure Well-being programs (e.g. mental health services, mindfulness and resiliency, medical resources, well-being events, and more) Professional development programs Employee discounts Affinity groups, networks, and coalitions for lawyers and staff Latham & Watkins is an equal opportunity employer. The Firm prohibits discrimination against any employee or applicant for employment on the basis of race (including, but not limited to, hair texture and protective hairstyles), color, religion, sex, age, national origin, sexual orientation, gender identity, veteran status (including veterans of the Vietnam era), gender expression, marital status, or any other characteristic or condition protected by applicable statute. Please click here to view the full job description for this role. Please click here to review your rights under U.S. employment laws. #MidSenior #LI-JN1 Pay Range USD $125,000.00 - USD $145,000.00 /Yr.",Litigation,Conflicts/Ethics,3,,Open,
1000145757,Latham & Watkins LLP,District of Columbia,Paralegal II – IP Litigation,"About Latham & Watkins Latham & Watkins is a global law firm consistently ranked among the top firms in the world. The success of our firm is largely determined by our commitment to hire and develop the very best and brightest, creating a team that provides our clients with the highest quality of work and service. We are driven by our core values: respect, innovation, and collaboration. About the Role The Paralegal II – Litigation & Trial (IP) is an integral part of Latham’s Legal Professional and Paralegal team. This role will be responsible for supporting the attorneys and senior paralegals in the Intellectual Property Litigation practice group, as well as supporting case teams in all phases of the IP litigation case preparation, including document review, case file organization, and trial preparation. This role will be located in our Washington, D.C. office.Please note that this role may be eligible for a flexible working schedule that allows for a hybrid and in-office presence. Responsibilities & Qualifications Other key responsibilities include: Coordinating and assisting in the discovery process, including gathering, reviewing, and analyzing documents for production, with the guidance of an attorney, while also managing and utilizing e-discovery platforms Maintaining case calendars and coordinating with the case team and other support departments Assisting with the preparation of legal documents, including pleadings, motions and exhibits, discovery requests/responses, and correspondence in accordance with court rules and deadlines Assisting with the preparation of PTAB petition filings, responses, and other related documents, ensuring compliance with procedural requirements Assisting with extracting relevant IP information from official USPTO databases and Google Patent Protecting and maintaining any highly sensitive, confidential, privileged, financial, and/or proprietary information that Latham & Watkins retains We’d love to hear from you if you: Possess knowledge of security-related practices and documentation, state and federal level filing requirements, document management and productions, fact and expert witness preparation, Bluebooking, and cite checking Display the ability to conduct thorough legal and fact checking on petitions and responses for PTAB proceedings, ensuring precision and adherence to legal standards and procedural requirements Demonstrate proficiency with patent terminology and citations And have: A bachelor’s degree or equivalent A paralegal certificate from an ABA-approved program or signed declaration if located in a California office A minimum of four (4) years of related law firm experience as a paralegal A minimum of two (2) years of intellectual property litigation experience, with an emphasis on patent litigation matters Benefits & Additional Information Successful candidates will not only be provided with an outstanding career opportunity and welcoming environment, but will also be provided with a generous total compensation package with bonuses awarded in recognition of both individual and firm performance. Eligible employees can participate in Latham’s comprehensive benefit program which includes: Healthcare, life and disability insurance A generous 401k plan At least 11 paid holidays per year, and a PTO program that accrues 23 days during the first year of employment and grows with tenure Well-being programs (e.g. mental health services, mindfulness and resiliency, medical resources, well-being events, and more) Professional development programs Employee discounts Affinity groups, networks, and coalitions for lawyers and staff Latham & Watkins is an equal opportunity employer. The Firm prohibits discrimination against any employee or applicant for employment on the basis of race (including, but not limited to, hair texture and protective hairstyles), color, religion, sex, age, national origin, sexual orientation, gender identity, veteran status (including veterans of the Vietnam era), gender expression, marital status, or any other characteristic or condition protected by applicable statute. Please click here to review your rights under U.S. employment laws. #MidSenior #LI-JN1 Pay Range USD $90,000.00 - USD $102,000.00 /Yr.",Litigation,,4,,Open,
1000145743,"Orrick, Herrington & Sutcliffe LLP","New York City, New York; Charlotte, North Carolina",Structured Finance Associate - CLO,"Overview Orrick’s Structured Finance team is seeking an associate with 2–8 years of experience, with a strong focus on Collateralized Loan Obligations (CLOs) and asset based lending. We are looking for a dedicated team player who thrives in a fast-paced environment, enjoys managing multiple transactions, and is eager to contribute to a collaborative and collegial group. About the Role: Orrick’s U.S. Structured Finance group is recognized for advising on some of the industry’s most innovative and complex transactions. Our team is a market leader in CLOs—particularly middle-market and broadly syndicated loan CLOs—and regularly advises arrangers, managers, investors, and issuers on all aspects of CLO structuring, execution, and regulatory compliance. We also have deep experience with middle-market leveraged loan transactions, helping clients navigate the unique challenges and opportunities in this space. Responsibilities Key Responsibilities: Advise on the structuring, execution, and closing of CLO transactions, with a focus on middle-market leveraged loans. Work closely with arrangers, managers, investors, and issuers on deal documentation and regulatory matters. Manage multiple transactions simultaneously in a fast-paced, team-oriented environment. Contribute to a collaborative and supportive team culture. Qualifications 2–8 years of experience in structured finance, with significant exposure to CLOs and/or middle-market leveraged loans. Strong drafting, negotiation, and communication skills. Ability to manage multiple deals and deadlines. Four to seven years of relevant law firm experience. Candidates must be highly motivated and have superior client service skills. Must be a member of the Bar in a U.S. State and satisfy any requirements of the Orrick office’s jurisdiction. How to Apply: Please apply online at https://www.orrick.com/Careers and include a resume, J.D. transcript, and cover letter. Search firm recruiters must submit using our Search Firm Portal. Please contact recruiting@orrick.com for agreements and login credentials. If you have any questions, please reach out to please reach out to Cassie Gomez, Recruiting Manager, at cgomez@orrick.com. Why Orrick: At our core, we value collegiality among our lawyers and strive to make our practices both professionally and personally rewarding. We’ll help you to connect with peers and mentors to ensure you are integrated into our client teams. Our top-notch training and mentoring programs, retreats and academies, and shadowing opportunities are what set us apart. If you are passionate about innovative work in a dynamic environment, you’re just who we’ve been looking for. Compensation and Benefits The expected salary range for this position is between $235,000 and $435,000. Orrick is committed to providing a comprehensive, competitive, and thoughtful total compensation package to our attorneys and staff, wherever they work. This compensation and benefits information is based on the Orrick’s estimate as of the date of publication and may be modified in the future. The level of pay within the range will depend on a variety of job-related factors that may include, but not limited to, qualifications, relevant experience or education, particular skills or expertise, geography. Other compensation may include an annual discretionary merit bonus, which would be determined by Firm and individual performance. We offer a full range of elective health benefits including medical, dental, vision and life; robust mental well-being programs; child, family, elder, and pet care benefits; short- and long-term disability and industry leading parental leave benefits; health savings account contributions (w/applicable medical plan), flexible spending accounts, and a 401K program. This role will receive compensated time off through our Flexible Time Off program and paid holidays. Orrick accepts applications for this position on an ongoing basis, until filled. We are an Equal Opportunity Employer. Consistent with the SF Fair Chance Ordinance, an arrest and conviction record will not automatically disqualify a qualified applicant from consideration for employment. For attorney positions, a ’qualified applicant’ is an individual who is a member of the State Bar of California, admitted in good standing, and is eligible to practice[1]; or whose admission to the State Bar of California and eligibility to practice remains subject only to successful completion of the California Bar Examination. Qualified applicants with criminal histories will be considered for the position in a manner consistent with the requirements of the Los Angeles Fair Chance Initiative for Hiring. #LI-DNI",Banking,"Structured Finance, Secured Finance, Lending",2,8,Open,
1000145738,Quarles & Brady LLP,"Madison, Wisconsin; Milwaukee, Wisconsin; San Diego, California; St. Louis, Missouri; District of Columbia",Intellectual Property Senior Counsel,"Office Locations: Madison, Milwaukee, San Diego, St. Louis, Washington D.C. Quarles LLP seeks a highly qualified Patent Prosecution Attorney with a background in electrical engineering to join our national Intellectual Property group. An undergraduate degree in electrical engineering, or related field, is required. Candidates must have 1-5 years of experience in patent prosecution. Admittance to the U.S.P.T.O. is preferred. The candidate must have a strong academic record paired with the skills, enthusiasm, and commitment to grow their practice and excel at this Firm. Quarles & Brady offers competitive salaries, bonus and great benefits to employees including paid time off, health, vision, dental, 401k, life, disability and much more. Benefit eligibility is dependent on hours. Compensation is determined upon the market in which the position is located, the responsibilities of the position, the experience, education and skills of the applicant, and other job-related factors. The range for this position for individuals physically located in Washington D.C. is $190,000 to $265,000. The range for this position for individuals physically located in San Diego is $175,000 to $250,000. Quarles is an equal opportunity employer. We are not accepting any additional external recruiting partnerships at this time for this position. We kindly request that search firms and placement agencies refrain from submitting inquiries at this time unless already in partnership and contact regarding this position. #LI-SF1 #LI-Onsite #LI-Hybrid Office Locations: Madison, Milwaukee, San Diego, St. Louis, Washington D.C. Quarles LLP seeks a highly qualified Patent Prosecution Attorney with a background in electrical engineering to join our national Intellectual Property group. An undergraduate degree in electrical engineering, or related field, is required. Candidates must have 1-5 years of experience in patent prosecution. Admittance to the U.S.P.T.O. is preferred. The candidate must have a strong academic record paired with the skills, enthusiasm, and commitment to grow their practice and excel at this Firm. Quarles & Brady offers competitive salaries, bonus and great benefits to employees including paid time off, health, vision, dental, 401k, life, disability and much more. Benefit eligibility is dependent on hours. Compensation is determined upon the market in which the position is located, the responsibilities of the position, the experience, education and skills of the applicant, and other job-related factors. The range for this position for individuals physically located in Washington D.C. is $190,000 to $265,000. The range for this position for individuals physically located in San Diego is $175,000 to $250,000. Quarles is an equal opportunity employer. We are not accepting any additional external recruiting partnerships at this time for this position. We kindly request that search firms and placement agencies refrain from submitting inquiries at this time unless already in partnership and contact regarding this position. #LI-SF1 #LI-Onsite #LI-Hybrid",Intellectual Property,Patent Prosecution,1,5,Open,
